x,y
-0.7270773,0.000159515
0.09526139,0.04157295
0.9176001,0.0516743
1.739939,0.04817809
2.562278,0.04516574
3.384616,0.04214909
4.206954,0.04014932
5.029294,0.03675674
5.851632,0.03450062
6.67397,0.03401322
7.496309,0.03328131
8.318648,0.03231229
9.140986,0.03022945
9.963326,0.02922043
10.78566,0.02836554
11.608,0.02729869
12.43034,0.02706251
13.25268,0.0268763
14.07502,0.02634729
14.89736,0.02590626
15.7197,0.02544657
16.54203,0.02482018
17.36437,0.02379973
18.18671,0.02307642
19.00905,0.02206459
19.83139,0.02125218
20.65373,0.02050709
21.47607,0.01948132
22.29841,0.01858365
23.12074,0.01799939
23.94308,0.01707486
24.76542,0.01603271
25.58776,0.015129
26.4101,0.01441562
27.23244,0.01356703
28.05478,0.01242075
28.87711,0.01204674
29.69945,0.01142472
30.52179,0.01064913
31.34413,0.01027839
32.16647,0.009554243
32.98881,0.009084191
33.81115,0.008724617
34.63349,0.008256956
35.45583,0.00765287
36.27816,0.007580104
37.1005,0.007353719
37.92284,0.00708226
38.74518,0.006852861
39.56752,0.006729431
40.38985,0.006254462
41.21219,0.006160002
42.03453,0.005906792
42.85687,0.005562777
43.67921,0.005393786
44.50155,0.005330539
45.32389,0.005048314
46.14622,0.004808397
46.96857,0.004811738
47.7909,0.004517582
48.61324,0.004430393
49.43559,0.004267486
50.25792,0.004000006
51.08026,0.003876342
51.9026,0.003701997
52.72494,0.003714634
53.54728,0.003639093
54.36961,0.003566112
55.19195,0.003567895
56.01429,0.003187133
56.83663,0.002875857
57.65897,0.002655047
58.4813,0.002457097
59.30365,0.002568401
60.12598,0.002296703
60.94832,0.002302685
61.77066,0.002084116
62.593,0.002166206
63.41534,0.001746382
64.23768,0.001625204
65.06002,0.001510365
65.88236,0.001428113
66.7047,0.001389907
67.52704,0.001299391
68.34937,0.001188755
69.17171,0.001128411
69.99406,0.000986841
70.81639,0.000930689
71.63873,0.000627854
72.46107,0.000420613
73.28341,0.000314663
74.10574,0.000373372
74.92809,0.000364696
75.75043,0.000352441
76.57276,0.000439165
77.3951,0.000482668
78.21744,0.000419537
79.03978,0.000527595
79.86212,0.000533721
80.68446,1.441663e-06
